date,total_value,pnl_pct,cash,num_positions,holdings
2026-04-11,4999.93,-0.0,1860.0,7.0,"XLE,MTUM,XLI,IWM,TSLA,INTC,QCOM"
2026-04-17T10:29:27.688617+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T10:30:07.380461+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T10:30:15.236060+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:34:13.627815+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:34:13.630745+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:35:05.774529+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:35:05.812212+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:35:10.772551+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:35:10.812017+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:37:38.690674+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:37:38.729923+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:38:42.993020+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:38:43.031888+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:40:21.948283+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:40:21.986402+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:41:47.023323+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:41:47.062092+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:44:09.466933+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:44:09.506517+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:44:34.664629+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:44:34.702950+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T13:45:43.803928+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T13:45:43.843736+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T14:25:09.354228+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:25:09.395736+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T14:26:20.054889+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:26:20.093102+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T14:27:50.044624+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:27:50.082416+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T14:27:52.093994+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:28:03.840434+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:28:03.879637+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T14:28:05.888836+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:28:09.311526+00:00,EQUITY,100000.0,50000.0,,
2026-04-17T14:28:09.348968+00:00,EQUITY,100000.0,100000.0,,
2026-04-17T14:28:11.360460+00:00,EQUITY,100000.0,50000.0,,
